slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
0.312598,2.467878,0.270063,131,167,-37,15.839615,0.267521,1
0.315233,-9.456996,0.323912,155,143,38,8.522594,0.591972,1
0.251001,1.968376,0.233430,130,168,-27,12.136230,0.338513,1
0.249016,1.965914,0.235031,131,167,-27,12.138866,0.339958,1
0.350327,4.745340,0.362252,138,160,-24,18.313045,0.230652,1
0.426428,4.264278,0.314880,108,189,-25,18.350666,0.237575,1
0.349447,4.765182,0.363089,139,159,-24,18.308700,0.226600,1
0.440315,4.127957,0.414352,134,164,-33,23.381105,0.271481,1
0.368368,3.361359,0.385937,130,165,-29,20.065978,0.274349,1
0.368204,3.359860,0.399540,130,159,-29,20.065523,0.271893,1
0.386293,4.457222,0.483990,137,161,-25,21.361096,0.305906,1
0.375351,3.495458,0.312134,133,165,-27,18.760342,0.305133,1
0.369716,3.466090,0.316603,134,164,-27,18.720429,0.302953,1
0.441010,4.380700,0.427403,134,164,-27,23.476013,0.191164,1
0.439611,4.396110,0.428524,135,163,-27,23.472811,0.192278,1
0.445027,4.172124,0.424024,134,164,-29,22.616073,0.113145,1
0.428798,4.019979,0.483764,134,164,-29,23.439149,0.133470,1
0.437252,4.044582,0.478835,132,165,-29,23.003101,0.119403,1
0.429366,3.788528,0.392305,133,165,-28,20.958906,0.161481,1
0.452127,-1.937688,0.786885,185,113,60,27.966814,0.147038,1
0.344139,3.441393,0.451105,135,163,-26,19.794334,0.179724,1
0.324801,3.410414,0.470670,133,163,-26,19.666431,0.195972,1
0.318795,3.392890,0.451849,135,163,-23,19.202036,0.184448,1
0.476677,4.734990,0.675155,134,147,-24,26.300481,0.096496,1
0.476677,4.734990,0.675155,134,147,-24,26.300481,0.096496,1
0.492329,5.274958,0.576878,136,162,-23,25.741019,0.132634,1
0.492329,5.274958,0.576878,136,162,-23,25.741019,0.132634,1
0.478951,5.986882,0.625602,138,158,-22,25.485201,0.142217,1
0.478951,5.986882,0.625602,138,158,-22,25.485201,0.142217,1
0.387972,4.476600,0.535561,137,161,-22,23.099972,0.126099,1
0.391348,4.485453,0.531756,136,162,-22,23.100265,0.126144,1
0.476852,4.800315,0.657572,136,162,-25,22.929237,0.121159,1
0.487090,4.566472,0.653692,134,163,-26,27.854738,0.127410,1
0.482217,4.581057,0.674388,136,157,-26,27.855031,0.129116,1
0.487090,4.566472,0.653692,134,163,-26,27.854738,0.127410,1
0.389923,4.874043,0.633244,138,160,-23,28.988980,0.127417,1
0.391566,4.861945,0.630407,137,161,-23,28.988766,0.126193,1
0.450839,4.508394,0.536413,135,163,-25,21.181378,0.132202,1
0.442371,4.335240,0.546301,132,165,-25,24.731380,0.138405,1
0.435240,4.352395,0.549939,135,163,-25,24.731541,0.139171,1
0.444044,4.322028,0.547434,131,165,-25,24.731917,0.139893,1
0.493039,5.688912,0.671678,137,161,-23,29.067963,0.066970,1
0.493039,5.688912,0.671678,137,161,-23,29.067963,0.066970,1
0.391709,4.896365,0.539389,138,160,-22,23.412237,0.119639,1
0.391709,4.896365,0.539389,138,160,-22,23.412237,0.119639,1
0.494203,4.360619,0.599029,133,165,-29,27.485386,0.071768,1
0.429145,4.951672,0.590343,137,161,-23,25.981692,0.127432,1
0.492834,4.348537,0.603599,133,164,-29,28.324025,0.103476,1
0.429145,4.951672,0.590343,137,161,-23,25.981692,0.127432,1
0.465698,5.665998,0.629318,134,160,-21,22.233994,0.101945,1
0.484967,5.657949,0.636663,128,159,-21,25.869291,0.080241,1
0.479450,5.633534,0.635383,129,159,-21,25.869682,0.079775,1
0.485862,5.668389,0.639726,128,158,-21,25.869262,0.079999,1
0.505585,4.708259,0.572846,133,165,-26,26.974349,0.056530,1
0.422535,3.961263,0.523794,134,164,-25,22.895797,0.172960,1
0.508378,4.766045,0.570824,134,164,-26,27.766582,0.086787,1
0.424978,3.957609,0.521120,133,165,-25,22.895406,0.172446,1
0.561837,4.924338,0.610608,132,166,-27,28.722249,0.122917,1
0.485733,7.285990,0.633605,140,158,-19,25.983419,0.125757,1
0.196132,5.840378,2.516577,259,39,-20,25.404115,0.086068,1
0.490359,7.306345,0.628622,139,159,-19,25.983742,0.127161,1
0.652787,6.484348,0.700389,134,164,-31,43.647226,0.064751,1
0.681552,6.815521,0.708201,135,155,-31,37.152761,0.080345,1
0.509704,5.097038,0.611529,135,163,-24,22.912171,0.126392,1
0.518848,5.484968,0.601620,134,164,-24,27.084614,0.115930,1
0.512084,5.120838,0.627701,135,158,-24,27.085755,0.114233,1
0.521965,5.480635,0.601969,133,164,-24,27.084159,0.115824,1
0.532356,6.610092,0.558157,137,159,-21,25.751845,0.131625,1
0.532356,6.610092,0.558157,137,159,-21,25.751845,0.131625,1
0.417624,4.786618,0.551526,136,160,-22,23.296626,0.101454,1
0.423912,4.891290,0.540278,137,161,-22,23.888945,0.085838,1
0.464720,6.854621,0.641211,165,133,-21,32.905901,0.077521,1
0.489109,5.100712,0.515055,132,166,-25,25.053652,0.089856,1
0.474403,5.082890,0.527103,136,162,-25,25.053255,0.091626,1
0.492073,5.096468,0.512496,131,167,-25,25.053616,0.091257,1
0.375834,3.758336,0.627895,135,163,-27,27.232210,0.091947,1
0.384784,3.822187,0.618885,134,164,-27,27.233068,0.092508,1
0.379528,3.162731,0.499609,132,166,-29,22.532200,0.111007,1
0.370830,3.090249,0.506980,132,166,-29,22.876936,0.135873,1
0.476711,5.073567,0.554521,135,163,-23,24.501823,0.087677,1
0.463738,4.968622,0.569687,136,161,-23,24.817341,0.106293,1
0.452140,4.210554,0.519963,133,165,-26,24.120332,0.085974,1
0.445906,4.180367,0.531840,134,162,-26,24.569847,0.092263,1
0.600745,5.265350,0.505567,132,166,-30,30.149342,0.113778,1
0.568782,5.332330,0.531967,134,164,-30,30.244638,0.101047,1
0.548079,5.444250,0.592941,134,164,-26,26.498050,0.112053,1
0.542849,5.428489,0.597707,135,163,-26,28.782978,0.117179,1
0.539947,6.188618,0.656145,136,162,-22,29.624649,0.115313,1
0.559016,5.366558,0.582945,129,169,-26,28.808595,0.120047,1
0.538488,6.213324,0.662010,137,160,-22,29.868142,0.116081,1
0.512587,6.151040,0.606843,132,163,-23,25.073462,0.111900,1
0.498096,6.184687,0.611552,137,161,-23,25.059268,0.111594,1
0.509323,6.366544,0.602367,138,160,-23,26.800885,0.088309,1
0.769192,6.560754,0.595987,128,166,-30,35.904777,0.112426,1
0.731023,6.450207,0.609893,133,165,-30,35.978049,0.124769,1
0.606787,6.457947,0.604598,135,160,-24,32.060585,0.113063,1
0.405774,5.038365,0.546054,137,160,-21,23.155469,0.127698,1
0.551444,6.362815,0.642305,137,161,-24,29.521659,0.099471,1
0.406211,5.043787,0.542459,137,161,-21,23.155277,0.129268,1
0.738959,7.340327,0.587020,134,164,-31,37.429991,0.104818,1
0.704586,7.498808,0.622388,135,161,-31,36.904800,0.083637,1
0.581799,4.848324,0.669987,132,166,-30,33.171146,0.090731,1
0.561408,4.953603,0.687170,133,165,-30,33.140091,0.070739,1
0.592058,4.642979,0.647770,130,168,-33,34.663846,0.054706,1
0.470785,6.376998,0.612194,138,159,-21,26.123441,0.117352,1
3.848466,-1.539386,0.710036,35,263,196,20.145855,0.199581,1
0.469338,6.357395,0.609862,138,160,-21,26.122483,0.115935,1
295.384685,2013.986486,892.187959,128,170,-40,31330.187760,0.022534,0
297.277128,2013.376913,887.538344,127,171,-40,31330.187918,0.022534,0
0.277386,-2.755363,0.224178,164,134,52,8.309321,0.719878,0
0.267343,-2.673434,0.800906,165,133,82,11.425490,0.623824,0
0.308794,-2.894948,0.205722,166,132,19,8.858002,0.622554,0
0.557933,-1.952767,0.359716,99,199,82,11.046648,0.619232,0
0.481382,-1.679239,1.053328,193,105,102,16.038311,0.563883,0
0.321834,-23.493870,0.505907,222,75,6,14.187030,0.520343,0
0.481382,-1.679239,1.053328,193,105,102,16.038311,0.563883,0
0.919510,-3.727744,0.843918,187,111,61,27.249198,0.477362,0
0.995791,-49.789533,1.042006,153,145,6,41.353772,0.364507,0
0.358635,-6.933613,2.941334,244,53,31,27.349735,0.397642,0
0.886975,-44.348749,0.794515,153,145,6,29.835404,0.436060,0
0.830317,-35.703611,0.891163,176,122,7,29.127833,0.417364,0
0.886975,-44.348749,0.794515,153,145,6,29.835404,0.436060,0
0.773984,-39.666697,1.048791,209,89,7,30.817039,0.561759,0
0.604768,-6.479661,0.558662,164,134,20,21.905881,0.738618,0
0.600277,-45.020781,0.493442,152,146,5,14.686675,0.909588,0
0.615999,-6.555988,0.546048,163,135,20,22.118256,0.736383,0
0.750937,-15.984232,0.558105,156,142,11,21.607875,0.626030,0
0.700065,-17.501616,0.612397,156,142,11,23.291193,0.635425,0
0.932883,-34.749900,1.146974,153,145,25,34.477226,0.494742,0
0.837520,0.952679,0.121845,11,286,-90,22.640224,0.420542,0
0.485477,-9.102686,0.507612,158,140,17,18.676677,0.643806,0
0.781105,-29.291441,0.641744,154,144,8,25.457286,0.516037,0
0.465854,-8.676539,0.533636,157,140,17,19.721639,0.683427,0
0.781105,-29.291441,0.641744,154,144,8,25.457286,0.516037,0
0.746633,4.479796,0.759417,125,173,-44,32.747244,0.554597,0
0.485588,18.105479,1.084319,254,44,-36,31.580073,0.517509,0
1.179790,11.797897,0.901631,135,163,-23,51.413630,0.356126,0
0.761246,20.839118,1.331557,211,87,-41,50.411877,0.325739,0
1.303146,11.380805,0.844397,116,182,-23,51.558679,0.410194,0
2.672525,-133.626258,1.371068,153,141,6,53.977197,0.047259,0
1.398909,-41.687495,1.003215,154,144,9,34.693011,0.079038,0
1.399037,-41.131688,1.037892,152,142,9,35.675204,0.097663,0
0.918344,-13.683324,0.362663,159,139,13,21.312756,0.219831,0
0.879622,-13.194333,0.879556,160,138,25,33.202706,0.121468,0
1.622165,-80.567549,1.137119,152,146,15,41.035353,0.071095,0
1.590697,-79.534851,1.168963,153,145,15,42.289079,0.071040,0
0.871738,-16.127151,0.732643,156,139,12,29.170164,0.120599,0
0.865941,-16.236394,0.720830,158,140,12,29.489017,0.137751,0
1.112058,-27.801459,0.910647,156,135,15,41.253831,0.101870,0
0.606426,-5.350814,1.190606,167,131,30,33.102909,0.212782,0
1.142597,-28.564926,0.834551,156,141,15,34.347417,0.119834,0
0.604462,-5.297931,1.188155,166,132,30,33.111131,0.210104,0
2.270815,-112.783809,1.345792,152,140,6,46.926693,0.078759,0
2.265130,-112.501479,1.323004,152,143,6,48.668938,0.084712,0
1.425909,-42.492075,0.792396,154,143,8,36.925803,0.121911,0
0.889504,-16.678195,0.710323,158,140,23,35.943751,0.152825,0
1.431425,-42.942743,0.776301,155,143,8,37.059345,0.121207,0
0.885376,-16.490123,0.716627,157,141,23,35.550447,0.154520,0
0.893544,-9.573691,0.954539,164,134,19,31.971647,0.238511,0
0.898098,-9.558325,0.948851,163,135,19,31.947955,0.238929,0
10.840578,-54.202889,0.539916,18,280,10,50.604648,0.160017,0
0.961185,-71.608300,1.199922,151,147,10,48.198341,0.211525,0
1.034313,-38.786750,0.805201,154,144,21,33.500851,0.257751,0
10.672199,-53.360995,0.549167,18,280,10,51.540500,0.204076,0
0.952320,-71.423990,1.211288,152,146,10,48.204882,0.210630,0
1.037005,-38.628422,0.803858,153,145,21,33.405955,0.256182,0
1.455648,-72.782388,1.086730,153,145,18,49.907064,0.251769,0
9.494458,-23.208676,0.571150,31,267,19,61.910211,0.244241,0
1.408180,-69.939623,1.152332,152,145,18,62.598929,0.231180,0
1.495231,-6.061747,3.041047,187,111,112,51.177792,0.492314,0
1.537461,-3.470934,2.829207,215,83,112,50.428784,0.500721,0
0.897436,3.153490,1.426092,181,117,-97,52.537746,0.257376,0
1.467201,5.948110,0.855005,113,185,-97,58.406182,0.429784,0
0.906121,4.839073,1.423380,204,92,-97,52.550169,0.253038,0
1.467201,5.948110,0.855005,113,185,-97,58.406182,0.429784,0